headers	province	region
EPI_ISL_2696242|B/Guizhou-Douyun/153/2021|2021-01-12	Guizhou	Southwest
EPI_ISL_2696243|B/Guizhou-Douyun/155/2021|2021-01-12	Guizhou	Southwest
EPI_ISL_2696244|B/Guizhou-Douyun/157/2021|2021-01-12	Guizhou	Southwest
EPI_ISL_2696245|B/Guizhou-Douyun/158/2021|2021-01-12	Guizhou	Southwest
EPI_ISL_2696248|B/Shanghai-Minxing/118/2021|2021-01-06	Shanghai	East
EPI_ISL_2696249|B/Shanghai-Minxing/122/2021|2021-01-10	Shanghai	East
EPI_ISL_2696250|B/Shanghai-Changning/117/2021|2021-01-07	Shanghai	East
EPI_ISL_2696251|B/Jiangxi-Donghu/38/2021|2021-01-13	Jiangxi	East
EPI_ISL_2696252|B/Jiangxi-Donghu/311/2021|2021-01-13	Jiangxi	East
EPI_ISL_2696258|B/Jiangxi-Yushui/344/2021|2021-01-11	Jiangxi	East
EPI_ISL_2696259|B/Jiangxi-Yushui/345/2021|2021-01-13	Jiangxi	East
EPI_ISL_2696261|B/Jiangxi-Yushui/347/2021|2021-01-13	Jiangxi	East
EPI_ISL_2696263|B/Jiangxi-Yushui/350/2021|2021-01-14	Jiangxi	East
EPI_ISL_2696265|B/Guizhou-Huichuan/125/2021|2021-01-11	Guizhou	Southwest
EPI_ISL_2696267|B/Guizhou-Douyun/11113/2020|2020-12-29	Guizhou	Southwest
EPI_ISL_2696268|B/Guizhou-Douyun/317/2020|2020-12-24	Guizhou	Southwest
EPI_ISL_2844835|B/Shanghai-Fengxian/1174/2021|2021-02-27	Shanghai	East
EPI_ISL_3722682|B/Chongqing-Qianjiang/1568/2021|2021-06-14	Chongqing	Southwest
EPI_ISL_3722684|B/Sichuan-Gaoxin/1701/2021|2021-06-29	Sichuan	Southwest
EPI_ISL_3722685|B/Tianjin-Jinnan/1305/2021|2021-06-01	Tianjin	North
EPI_ISL_3722686|B/Fujian-Cangshan/1613/2021|2021-06-20	Fujian	East
EPI_ISL_3722688|B/Ningxia-Zhongning/1308/2021|2021-04-19	Ningxia	Northwest
EPI_ISL_3722691|B/Sichuan-Qingyang/11361/2021|2021-06-09	Sichuan	Southwest
EPI_ISL_3722692|B/Hebei-Luquan/1578/2021|2021-06-08	Hebei	North
EPI_ISL_3722696|B/Zhejiang-Nanhu/1526/2021|2021-06-02	Zhejiang	East
EPI_ISL_3722701|B/Shanxi-Chengqu/1390/2021|2021-06-02	Shanxi	North
EPI_ISL_3722703|B/Neimenggu-Xincheng/1370/2021|2021-06-08	Neimenggu	North
EPI_ISL_3722705|B/Fujian-Meilie/1540/2021|2021-05-26	Fujian	East
EPI_ISL_3722709|B/Henan-Jinshui/1318/2021|2021-06-07	Henan	Central
EPI_ISL_3722711|B/Guangdong-Xiangzhou/8244/2021|2021-06-15	Guangdong	South
EPI_ISL_3722736|B/Gansu-Linxia/1430/2021|2021-03-30	Gansu	Northwest
